"Error","Query","Table","Variable","PID","Info"
"Missing Value","Missing Value","tblCENTER","close_d","113",""
"Missing Value","Missing Value","tblCENTER","close_d","114",""
"Missing Value","Missing Value","tblCENTER","close_d","115",""
"Missing Value","Missing Value","tblCENTER","close_d","116",""
"Missing Value","Missing Value","tblCENTER","close_d","118",""
"Missing Value","Missing Value","tblCENTER","close_d","119",""
"Missing Value","Missing Value","tblCENTER","close_d","12",""
"Missing Value","Missing Value","tblCENTER","close_d","120",""
"Missing Value","Missing Value","tblCENTER","close_d","121",""
"Missing Value","Missing Value","tblCENTER","close_d","122",""
"Missing Value","Missing Value","tblCENTER","close_d","123",""
"Missing Value","Missing Value","tblCENTER","close_d","124",""
"Missing Value","Missing Value","tblCENTER","close_d","125",""
"Missing Value","Missing Value","tblCENTER","close_d","126",""
"Missing Value","Missing Value","tblCENTER","close_d","127",""
"Missing Value","Missing Value","tblCENTER","close_d","128",""
"Missing Value","Missing Value","tblCENTER","close_d","129",""
"Missing Value","Missing Value","tblCENTER","close_d","13",""
"Missing Value","Missing Value","tblCENTER","close_d","131",""
"Missing Value","Missing Value","tblCENTER","close_d","132",""
"Missing Value","Missing Value","tblCENTER","close_d","133",""
"Missing Value","Missing Value","tblCENTER","close_d","134",""
"Missing Value","Missing Value","tblCENTER","close_d","135",""
"Missing Value","Missing Value","tblCENTER","close_d","136",""
"Missing Value","Missing Value","tblCENTER","close_d","137",""
"Missing Value","Missing Value","tblCENTER","close_d","138",""
"Missing Value","Missing Value","tblCENTER","close_d","139",""
"Missing Value","Missing Value","tblCENTER","close_d","14",""
"Missing Value","Missing Value","tblCENTER","close_d","140",""
"Missing Value","Missing Value","tblCENTER","close_d","141",""
"Missing Value","Missing Value","tblCENTER","close_d","142",""
"Missing Value","Missing Value","tblCENTER","close_d","143",""
"Missing Value","Missing Value","tblCENTER","close_d","144",""
"Missing Value","Missing Value","tblCENTER","close_d","145",""
"Missing Value","Missing Value","tblCENTER","close_d","146",""
"Missing Value","Missing Value","tblCENTER","close_d","147",""
"Missing Value","Missing Value","tblCENTER","close_d","148",""
"Missing Value","Missing Value","tblCENTER","close_d","15",""
"Missing Value","Missing Value","tblCENTER","close_d","150",""
"Missing Value","Missing Value","tblCENTER","close_d","151",""
"Missing Value","Missing Value","tblCENTER","close_d","153",""
"Missing Value","Missing Value","tblCENTER","close_d","154",""
"Missing Value","Missing Value","tblCENTER","close_d","155",""
"Missing Value","Missing Value","tblCENTER","close_d","156",""
"Missing Value","Missing Value","tblCENTER","close_d","157",""
"Missing Value","Missing Value","tblCENTER","close_d","158",""
"Missing Value","Missing Value","tblCENTER","close_d","159",""
"Missing Value","Missing Value","tblCENTER","close_d","16",""
"Missing Value","Missing Value","tblCENTER","close_d","160",""
"Missing Value","Missing Value","tblCENTER","close_d","161",""
"Missing Value","Missing Value","tblCENTER","close_d","162",""
"Missing Value","Missing Value","tblCENTER","close_d","163",""
"Missing Value","Missing Value","tblCENTER","close_d","164",""
"Missing Value","Missing Value","tblCENTER","close_d","165",""
"Missing Value","Missing Value","tblCENTER","close_d","166",""
"Missing Value","Missing Value","tblCENTER","close_d","167",""
"Missing Value","Missing Value","tblCENTER","close_d","168",""
"Missing Value","Missing Value","tblCENTER","close_d","169",""
"Missing Value","Missing Value","tblCENTER","close_d","17",""
"Missing Value","Missing Value","tblCENTER","close_d","170",""
"Missing Value","Missing Value","tblCENTER","close_d","172",""
"Missing Value","Missing Value","tblCENTER","close_d","173",""
"Missing Value","Missing Value","tblCENTER","close_d","174",""
"Missing Value","Missing Value","tblCENTER","close_d","175",""
"Missing Value","Missing Value","tblCENTER","close_d","176",""
"Missing Value","Missing Value","tblCENTER","close_d","177",""
"Missing Value","Missing Value","tblCENTER","close_d","179",""
"Missing Value","Missing Value","tblCENTER","close_d","18",""
"Missing Value","Missing Value","tblCENTER","close_d","180",""
"Missing Value","Missing Value","tblCENTER","close_d","181",""
"Missing Value","Missing Value","tblCENTER","close_d","182",""
"Missing Value","Missing Value","tblCENTER","close_d","183",""
"Missing Value","Missing Value","tblCENTER","close_d","184",""
"Missing Value","Missing Value","tblCENTER","close_d","185",""
"Missing Value","Missing Value","tblCENTER","close_d","186",""
"Missing Value","Missing Value","tblCENTER","close_d","187",""
"Missing Value","Missing Value","tblCENTER","close_d","188",""
"Missing Value","Missing Value","tblCENTER","close_d","189",""
"Missing Value","Missing Value","tblCENTER","close_d","19",""
"Missing Value","Missing Value","tblCENTER","close_d","190",""
"Missing Value","Missing Value","tblCENTER","close_d","191",""
"Missing Value","Missing Value","tblCENTER","close_d","192",""
"Missing Value","Missing Value","tblCENTER","close_d","193",""
"Missing Value","Missing Value","tblCENTER","close_d","194",""
"Missing Value","Missing Value","tblCENTER","close_d","195",""
"Missing Value","Missing Value","tblCENTER","close_d","196",""
"Missing Value","Missing Value","tblCENTER","close_d","197",""
"Missing Value","Missing Value","tblCENTER","close_d","198",""
"Missing Value","Missing Value","tblCENTER","close_d","199",""
"Missing Value","Missing Value","tblCENTER","close_d","2",""
"Missing Value","Missing Value","tblCENTER","close_d","200",""
"Missing Value","Missing Value","tblCENTER","close_d","201",""
"Missing Value","Missing Value","tblCENTER","close_d","202",""
"Missing Value","Missing Value","tblCENTER","close_d","203",""
"Missing Value","Missing Value","tblCENTER","close_d","204",""
"Missing Value","Missing Value","tblCENTER","close_d","205",""
"Missing Value","Missing Value","tblCENTER","close_d","206",""
"Missing Value","Missing Value","tblCENTER","close_d","207",""
"Missing Value","Missing Value","tblCENTER","close_d","21",""
"Missing Value","Missing Value","tblCENTER","close_d","22",""
"Missing Value","Missing Value","tblCENTER","close_d","23",""
"Missing Value","Missing Value","tblCENTER","close_d","24",""
"Missing Value","Missing Value","tblCENTER","close_d","25",""
"Missing Value","Missing Value","tblCENTER","close_d","26",""
"Missing Value","Missing Value","tblCENTER","close_d","27",""
"Missing Value","Missing Value","tblCENTER","close_d","29",""
"Missing Value","Missing Value","tblCENTER","close_d","3",""
"Missing Value","Missing Value","tblCENTER","close_d","30",""
"Missing Value","Missing Value","tblCENTER","close_d","31",""
"Missing Value","Missing Value","tblCENTER","close_d","32",""
"Missing Value","Missing Value","tblCENTER","close_d","33",""
"Missing Value","Missing Value","tblCENTER","close_d","34",""
"Missing Value","Missing Value","tblCENTER","close_d","35",""
"Missing Value","Missing Value","tblCENTER","close_d","36",""
"Missing Value","Missing Value","tblCENTER","close_d","37",""
"Missing Value","Missing Value","tblCENTER","close_d","38",""
"Missing Value","Missing Value","tblCENTER","close_d","39",""
"Missing Value","Missing Value","tblCENTER","close_d","4",""
"Missing Value","Missing Value","tblCENTER","close_d","40",""
"Missing Value","Missing Value","tblCENTER","close_d","41",""
"Missing Value","Missing Value","tblCENTER","close_d","42",""
"Missing Value","Missing Value","tblCENTER","close_d","43",""
"Missing Value","Missing Value","tblCENTER","close_d","44",""
"Missing Value","Missing Value","tblCENTER","close_d","46",""
"Missing Value","Missing Value","tblCENTER","close_d","47",""
"Missing Value","Missing Value","tblCENTER","close_d","48",""
"Missing Value","Missing Value","tblCENTER","close_d","49",""
"Missing Value","Missing Value","tblCENTER","close_d","5",""
"Missing Value","Missing Value","tblCENTER","close_d","50",""
"Missing Value","Missing Value","tblCENTER","close_d","51",""
"Missing Value","Missing Value","tblCENTER","close_d","52",""
"Missing Value","Missing Value","tblCENTER","close_d","53",""
"Missing Value","Missing Value","tblCENTER","close_d","54",""
"Missing Value","Missing Value","tblCENTER","close_d","55",""
"Missing Value","Missing Value","tblCENTER","close_d","56",""
"Missing Value","Missing Value","tblCENTER","close_d","57",""
"Missing Value","Missing Value","tblCENTER","close_d","58",""
"Missing Value","Missing Value","tblCENTER","close_d","59",""
"Missing Value","Missing Value","tblCENTER","close_d","6",""
"Missing Value","Missing Value","tblCENTER","close_d","60",""
"Missing Value","Missing Value","tblCENTER","close_d","61",""
"Missing Value","Missing Value","tblCENTER","close_d","62",""
"Missing Value","Missing Value","tblCENTER","close_d","63",""
"Missing Value","Missing Value","tblCENTER","close_d","64",""
"Missing Value","Missing Value","tblCENTER","close_d","65",""
"Missing Value","Missing Value","tblCENTER","close_d","66",""
"Missing Value","Missing Value","tblCENTER","close_d","67",""
"Missing Value","Missing Value","tblCENTER","close_d","68",""
"Missing Value","Missing Value","tblCENTER","close_d","7",""
"Missing Value","Missing Value","tblCENTER","close_d","70",""
"Missing Value","Missing Value","tblCENTER","close_d","71",""
"Missing Value","Missing Value","tblCENTER","close_d","72",""
"Missing Value","Missing Value","tblCENTER","close_d","73",""
"Missing Value","Missing Value","tblCENTER","close_d","74",""
"Missing Value","Missing Value","tblCENTER","close_d","75",""
"Missing Value","Missing Value","tblCENTER","close_d","76",""
"Missing Value","Missing Value","tblCENTER","close_d","77",""
"Missing Value","Missing Value","tblCENTER","close_d","78",""
"Missing Value","Missing Value","tblCENTER","close_d","79",""
"Missing Value","Missing Value","tblCENTER","close_d","8",""
"Missing Value","Missing Value","tblCENTER","close_d","80",""
"Missing Value","Missing Value","tblCENTER","close_d","81",""
"Missing Value","Missing Value","tblCENTER","close_d","82",""
"Missing Value","Missing Value","tblCENTER","close_d","83",""
"Missing Value","Missing Value","tblCENTER","close_d","84",""
"Missing Value","Missing Value","tblCENTER","close_d","85",""
"Missing Value","Missing Value","tblCENTER","close_d","86",""
"Missing Value","Missing Value","tblCENTER","close_d","87",""
"Missing Value","Missing Value","tblCENTER","close_d","88",""
"Missing Value","Missing Value","tblCENTER","close_d","89",""
"Missing Value","Missing Value","tblCENTER","close_d","9",""
"Missing Value","Missing Value","tblCENTER","close_d","90",""
"Missing Value","Missing Value","tblCENTER","close_d","91",""
"Missing Value","Missing Value","tblCENTER","close_d","92",""
"Missing Value","Missing Value","tblCENTER","close_d","93",""
"Missing Value","Missing Value","tblCENTER","close_d","94",""
"Missing Value","Missing Value","tblCENTER","close_d","96",""
"Missing Value","Missing Value","tblCENTER","close_d","97",""
"Missing Value","Missing Value","tblCENTER","close_d","98",""
"Missing Value","Missing Value","tblCENTER","close_d","99",""
"Missing Value","Missing Value","tblCENTER","close_d","MACENTA",""
"Value Error","Unexpected Type","tblCENTER","open_d","zz-name","open_d=2016-01-40&type=date"
"Value Error","Unexpected Type","tblCENTER","open_d","zz-name","open_d=2016-01-40&type=date"
"Value Error","Unexpected Type","tblCENTER","open_d","zz-name","open_d=x&type=date"
"Value Error","Unexpected Type","tblCENTER","open_d","zz-name","open_d=x&type=date"
"Value Error","Unexpected Type","tblCENTER","close_d","zz-name","close_d=216-01-01&type=date"
"Value Error","Unexpected Type","tblCENTER","close_d","zz-name","close_d=216-01-01&type=date"
"Value Error","Unexpected Type","tblCENTER","close_d","zz-name","close_d=x&type=date"
"Value Error","Unexpected Type","tblCENTER","close_d","zz-name","close_d=x&type=date"
"Value Error","Unexpected Type","tblCENTER","add_center","zz-name","add_center=2010-16-03&type=date"
"Value Error","Unexpected Type","tblCENTER","add_center","zz-name","add_center=2010-16-03&type=date"
"Value Error","Unexpected Type","tblCENTER","add_center","zz-name","add_center=x&type=date"
"Value Error","Unexpected Type","tblCENTER","add_center","zz-name","add_center=x&type=date"
"Value Error","Unexpected Type","tblCENTER","drop_center","zz-name","drop_center=x&type=date"
"Value Error","Unexpected Type","tblCENTER","drop_center","zz-name","drop_center=x&type=date"
"Logic","Out of Order","tblCENTER","open_d&close_d","CM-MHY-Limbe","open_d=2007-07-02&close_d=2001-06-30"
"Logic","Duplicate Record","tblCENTER","center","zz-center","center  = zz-center"
"Logic","Duplicate Record","tblCENTER","center","zz-center","center  = zz-center"
"Value Error","Unexpected Type","tblCENTER","geocode_lat","zz-center","geocode_lat=x&type=numeric"
"Value Error","Unexpected Type","tblCENTER","geocode_lat","zz-center","geocode_lat=x&type=numeric"
"Value Error","Unexpected Type","tblCENTER","geocode_lon","zz-center","geocode_lon=x&type=numeric"
"Value Error","Unexpected Type","tblCENTER","geocode_lon","zz-center","geocode_lon=x&type=numeric"
"Logic","Out of Range","tblCENTER","geocode_lat","zz-center","geocode_lat=1000"
"Logic","Out of Range","tblCENTER","geocode_lat","zz-center","geocode_lat=-1000"
"Logic","Out of Range","tblCENTER","geocode_lon","zz-center","geocode_lon=1000"
"Logic","Out of Range","tblCENTER","geocode_lon","zz-center","geocode_lon=-1000"
"Value Error","Unexpected Code","tblCENTER","rural","zz-center","rural=999"
"Value Error","Unexpected Code","tblCENTER","rural","zz-center","rural=999"
"Value Error","Unexpected Code","tblCENTER","rural","zz-center","rural=x"
"Value Error","Unexpected Code","tblCENTER","rural","zz-center","rural=x"
"Value Error","Unexpected Code","tblCENTER","level","BANDIM","level=9"
"Value Error","Unexpected Code","tblCENTER","level","MACENTA","level=9"
"Value Error","Unexpected Code","tblCENTER","level","ROYER","level=9"
"Value Error","Unexpected Code","tblCENTER","level","zz-center","level=999"
"Value Error","Unexpected Code","tblCENTER","level","zz-center","level=999"
"Value Error","Unexpected Code","tblCENTER","level","zz-center","level=x"
"Value Error","Unexpected Code","tblCENTER","level","zz-center","level=x"
"Value Error","Unexpected Code","tblCENTER","adultped","zz-center","adultped=zz-adultped"
"Value Error","Unexpected Code","tblCENTER","adultped","zz-center","adultped=zz-adultped"
"Value Error","Unexpected Code","tblCENTER","adultped","zz-center","adultped=zz-adultped"
"Value Error","Unexpected Code","tblCENTER","adultped","zz-center","adultped=zz-adultped"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program",NA,"program = NA"
"Logic","Unexpected Record","tblCENTER","program","zz-program","program = zz-program"
"Logic","Unexpected Record","tblCENTER","program","zz-program","program = zz-program"
"Logic","Unexpected Record","tblCENTER","program","zz-program","program = zz-program"
"Logic","Unexpected Record","tblCENTER","program","zz-program","program = zz-program"
"Table Structure","Unexpected Variable","tblBAS","forced_error","",""
"Value Error","Unexpected Type","tblBAS","birth_d","1018","birth_d=x&type=date"
"Value Error","Unexpected Type","tblBAS","enrol_d","1018","enrol_d=x&type=date"
"Value Error","Unexpected Type","tblBAS","recart_d","1018","recart_d=x&type=date"
"Value Error","Unexpected Type","tblBAS","aids_d","1018","aids_d=x&type=date"
"Logic","Duplicate Record","tblBAS","patient","1014","patient  = 1014"
"Value Error","Unexpected Code","tblBAS","gender","1018","gender=x"
"Value Error","Unexpected Code","tblBAS","mode","1018","mode=x"
"Value Error","Unexpected Code","tblBAS","naive_y","1018","naive_y=x"
"Value Error","Unexpected Code","tblBAS","proph_y","1018","proph_y=x"
"Value Error","Unexpected Code","tblBAS","recart_y","1018","recart_y=x"
"Value Error","Unexpected Code","tblBAS","aids_y","1018","aids_y=x"
"Value Error","Unexpected Code","tblBAS","birth_d_a","1018","birth_d_a=x"
"Value Error","Unexpected Code","tblBAS","enrol_d_a","1018","enrol_d_a=x"
"Value Error","Unexpected Code","tblBAS","recart_d_a","1018","recart_d_a=x"
"Value Error","Unexpected Code","tblBAS","aids_d_a","1018","aids_d_a=x"
"Logic","Unexpected Record","tblBAS","program","9004","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","100","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","101","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","102","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","103","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","104","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1000","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1001","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1002","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1003","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1004","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1005","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1006","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1007","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1008","program = Program1_R1"
"Logic","Unexpected Record","tblBAS","program","1009","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1010","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1011","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1012","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1013","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1014","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1014","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1015","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1016","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1017","program = Program1_R3"
"Logic","Unexpected Record","tblBAS","program","1018","program = x"
"Table Structure","Unexpected Variable","tblLTFU","forced_error","",""
"Value Error","Unexpected Type","tblLTFU","death_d","1005","death_d=x&type=date"
"Value Error","Unexpected Type","tblLTFU","l_alive_d","1020","l_alive_d=x&type=date"
"Value Error","Unexpected Type","tblLTFU","transfer_d","1020","transfer_d=x&type=date"
"Value Error","Unexpected Type","tblLTFU","fatherdeath_d","1018","fatherdeath_d=x&type=date"
"Missing Value","Missing Value","tblLTFU","l_alive_d","1019",""
"Logic","Out of Order","tblLTFU & tblBAS","birth_d&death_d","1000","birth_d=2001-01-07&death_d=2000-01-01"
"Logic","Out of Order","tblLTFU & tblBAS","birth_d&death_d","1010","birth_d=2001-01-17&death_d=2000-01-01"
"Logic","Out of Order","tblLTFU & tblBAS","enrol_d&death_d","1000","enrol_d=2001-02-07&death_d=2000-01-01"
"Logic","Out of Order","tblLTFU & tblBAS","enrol_d&death_d","1010","enrol_d=2001-02-17&death_d=2000-01-01"
"Logic","Out of Order","tblLTFU","l_alive_d&death_d","1000","l_alive_d=2002-04-15&death_d=2000-01-01"
"Logic","Date in the Future","tblLTFU","motherdeath_d","1001","databaseclose=2013-12-01&motherdeath_d=2014-10-10"
"Logic","Date in the Future","tblLTFU","motherdeath_d","1003","databaseclose=2013-12-01&motherdeath_d=2014-10-10"
"Logic","Date in the Future","tblLTFU","motherdeath_d","1005","databaseclose=2013-12-01&motherdeath_d=2014-10-10"
"Logic","Date in the Future","tblLTFU","motherdeath_d","1007","databaseclose=2013-12-01&motherdeath_d=2014-10-10"
"Logic","Date in the Future","tblLTFU","motherdeath_d","1010","databaseclose=2013-12-01&motherdeath_d=2014-10-10"
"Logic","Date in the Future","tblLTFU","motherdeath_d","1013","databaseclose=2013-12-01&motherdeath_d=2014-10-10"
"Logic","Date in the Future","tblLTFU","motherdeath_d","1018","databaseclose=2013-12-01&motherdeath_d=2014-10-10"
"Logic","Date in the Future","tblLTFU","fatherdeath_d","1001","databaseclose=2013-12-01&fatherdeath_d=2014-10-20"
"Logic","Date in the Future","tblLTFU","fatherdeath_d","1003","databaseclose=2013-12-01&fatherdeath_d=2014-10-20"
"Logic","Date in the Future","tblLTFU","fatherdeath_d","1005","databaseclose=2013-12-01&fatherdeath_d=2014-10-20"
"Logic","Date in the Future","tblLTFU","fatherdeath_d","1007","databaseclose=2013-12-01&fatherdeath_d=2014-10-20"
"Logic","Date in the Future","tblLTFU","fatherdeath_d","1010","databaseclose=2013-12-01&fatherdeath_d=2014-10-20"
"Logic","Date in the Future","tblLTFU","fatherdeath_d","1013","databaseclose=2013-12-01&fatherdeath_d=2014-10-20"
"Logic","Duplicate Record","tblLTFU","patient","1010","patient  = 1010"
"Logic","Duplicate Record","tblLTFU","patient","1014","patient  = 1014"
"Value Error","Unexpected Code","tblLTFU","drop_y","1020","drop_y=x"
"Value Error","Unexpected Code","tblLTFU","death_y","1020","death_y=x"
"Value Error","Unexpected Code","tblLTFU","motherdeath_y","1020","motherdeath_y=x"
"Value Error","Unexpected Code","tblLTFU","fatherdeath_y","1020","fatherdeath_y=x"
"Value Error","Unexpected Code","tblLTFU","death_d_a","1002","death_d_a=x"
"Value Error","Unexpected Code","tblLTFU","death_d_a","1007","death_d_a=Y "
"Value Error","Unexpected Code","tblLTFU","death_d_a","1014","death_d_a=Y "
"Value Error","Unexpected Code","tblLTFU","death_d_a","1020","death_d_a=x"
"Value Error","Unexpected Code","tblLTFU","l_alive_d_a","1002","l_alive_d_a=x"
"Value Error","Unexpected Code","tblLTFU","l_alive_d_a","1007","l_alive_d_a=Y "
"Value Error","Unexpected Code","tblLTFU","l_alive_d_a","1014","l_alive_d_a=Y "
"Value Error","Unexpected Code","tblLTFU","l_alive_d_a","1020","l_alive_d_a=x"
"Value Error","Unexpected Code","tblLTFU","transfer_d_a","1002","transfer_d_a=x"
"Value Error","Unexpected Code","tblLTFU","transfer_d_a","1007","transfer_d_a=Y "
"Value Error","Unexpected Code","tblLTFU","transfer_d_a","1014","transfer_d_a=Y "
"Value Error","Unexpected Code","tblLTFU","transfer_d_a","1020","transfer_d_a=x"
"Table Structure","Unexpected Variable","tblART","forced_error","",""
"Value Error","Unexpected Type","tblART","art_sd","1018","art_sd=x&type=date"
"Value Error","Unexpected Type","tblART","art_ed","1018","art_ed=x&type=date"
"Logic","Out of Order","tblART & tblBAS","birth_d&art_sd","1014","birth_d=2001-01-22&art_sd=2001-01-21"
"Logic","Out of Order","tblART & tblLTFU","art_sd&death_d","1000","art_sd=2001-01-07&death_d=2000-01-01"
"Logic","Out of Order","tblART & tblLTFU","art_sd&death_d","1010","art_sd=2001-01-17&death_d=2000-01-01"
"Logic","Out of Order","tblART & tblLTFU","art_sd&death_d","1015","art_sd=2001-01-23&death_d=2000-01-01"
"Logic","Out of Order","tblART & tblLTFU","art_ed&death_d","1000","art_ed=2001-02-07&death_d=2000-01-01"
"Logic","Out of Order","tblART & tblLTFU","art_ed&death_d","1010","art_ed=2001-02-17&death_d=2000-01-01"
"Logic","Out of Order","tblART & tblLTFU","art_ed&death_d","1015","art_ed=2001-02-23&death_d=2000-01-01"
"Value Error","Unexpected Type","tblART","art_rs","1018","art_rs=x&type=numeric"
"Value Error","Unexpected Code","tblART","art_id","1018","art_id=x"
"Value Error","Unexpected Code","tblART","art_rs","1019","art_rs=10000"
"Value Error","Unexpected Code","tblART","art_rs","1018","art_rs=x"
"Value Error","Unexpected Code","tblART","art_rs2","1019","art_rs2=10000"
"Value Error","Unexpected Code","tblART","art_rs2","1018","art_rs2=x"
"Value Error","Unexpected Code","tblART","art_rs3","1019","art_rs3=1000"
"Value Error","Unexpected Code","tblART","art_rs3","1018","art_rs3=x"
"Value Error","Unexpected Code","tblART","art_rs4","1019","art_rs4=1000"
"Value Error","Unexpected Code","tblART","art_rs4","1018","art_rs4=x"
"Value Error","Unexpected Code","tblART","art_form","1018","art_form=x"
"Value Error","Unexpected Code","tblART","art_comb","1018","art_comb=x"
"Value Error","Unexpected Code","tblART","art_sd_a","1018","art_sd_a=x"
"Value Error","Unexpected Code","tblART","art_ed_a","1018","art_ed_a=x"
"Value Error","Unexpected Code","tblART","artstart_rs","1000","artstart_rs=2"
"Value Error","Unexpected Code","tblART","artstart_rs","1001","artstart_rs=4"
"Value Error","Unexpected Code","tblART","artstart_rs","1002","artstart_rs=6"
"Value Error","Unexpected Code","tblART","artstart_rs","1003","artstart_rs=8"
"Value Error","Unexpected Code","tblART","artstart_rs","1016","artstart_rs=10"
"Value Error","Unexpected Code","tblART","artstart_rs","1017","artstart_rs=11"
"Value Error","Unexpected Code","tblART","artstart_rs","1019","artstart_rs=11"
"Value Error","Unexpected Code","tblART","artstart_rs","1019","artstart_rs=11"
"Value Error","Unexpected Code","tblART","artstart_rs","1018","artstart_rs=x"
"Table Structure","Unexpected Variable","tblVIS","forced_error","",""
"Value Error","Unexpected Type","tblVIS","vis_d","146","vis_d= &type=date"
"Logic","Date in the Future","tblVIS","vis_d","147","databaseclose=2013-12-01&vis_d=2015-06-06"
"Value Error","Unexpected Type","tblVIS","heigh","146","heigh=C&type=numeric"
"Value Error","Unexpected Type","tblVIS","weigh","146","weigh=X&type=numeric"
"Logic","Out of Range","tblVIS","weigh","147","weigh=9999"
"Value Error","Unexpected Code","tblVIS","who_stage","120","who_stage=5"
"Value Error","Unexpected Code","tblVIS","who_stage","126","who_stage=5"
"Value Error","Unexpected Code","tblVIS","who_stage","133","who_stage=5"
"Value Error","Unexpected Code","tblVIS","who_stage","147","who_stage=999"
"Value Error","Unexpected Code","tblVIS","cdc_stage","146","cdc_stage= x"
"Value Error","Unexpected Code","tblVIS","cdc_stage","147","cdc_stage=Y"
"Value Error","Unexpected Code","tblVIS","vis_d_a","146","vis_d_a=X"
"Value Error","Unexpected Code","tblVIS","smoking_y","146","smoking_y=x"
"Value Error","Unexpected Code","tblVIS","preg_y","146","preg_y=x"
"Value Error","Unexpected Code","tblVIS","breastf_y","146","breastf_y=x"
"Value Error","Unexpected Code","tblVIS","feedoth_y","146","feedoth_y=x"
"Value Error","Unexpected Code","tblVIS","brought_patient","145","brought_patient=x"
"Value Error","Unexpected Code","tblVIS","brought_patient","146","brought_patient=y"
"Value Error","Unexpected Code","tblVIS","brought_patient","147","brought_patient=999"
"Value Error","Unexpected Code","tblVIS","hiv_status","145","hiv_status=x"
"Value Error","Unexpected Code","tblVIS","hiv_status","146","hiv_status=y"
"Value Error","Unexpected Code","tblVIS","hiv_status","147","hiv_status=999"
"Value Error","Unexpected Code","tblVIS","status_known","145","status_known=x"
"Value Error","Unexpected Code","tblVIS","status_known","146","status_known=y"
"Value Error","Unexpected Code","tblVIS","status_known","147","status_known=999"
"Value Error","Unexpected Code","tblVIS","school","101","school=2"
"Value Error","Unexpected Code","tblVIS","school","104","school=2"
"Value Error","Unexpected Code","tblVIS","school","107","school=2"
"Value Error","Unexpected Code","tblVIS","school","110","school=2"
"Value Error","Unexpected Code","tblVIS","school","113","school=2"
"Value Error","Unexpected Code","tblVIS","school","116","school=2"
"Value Error","Unexpected Code","tblVIS","school","119","school=2"
"Value Error","Unexpected Code","tblVIS","school","122","school=2"
"Value Error","Unexpected Code","tblVIS","school","125","school=2"
"Value Error","Unexpected Code","tblVIS","school","128","school=2"
"Value Error","Unexpected Code","tblVIS","school","131","school=2"
"Value Error","Unexpected Code","tblVIS","school","134","school=2"
"Value Error","Unexpected Code","tblVIS","school","137","school=2"
"Value Error","Unexpected Code","tblVIS","school","140","school=2"
"Value Error","Unexpected Code","tblVIS","school","143","school=2"
"Value Error","Unexpected Code","tblVIS","school","145","school=x"
"Value Error","Unexpected Code","tblVIS","school","146","school=y"
"Value Error","Unexpected Code","tblVIS","school","147","school=999"
"Value Error","Unexpected Code","tblVIS","school_lvl","145","school_lvl=x"
"Value Error","Unexpected Code","tblVIS","school_lvl","146","school_lvl=y"
"Value Error","Unexpected Code","tblVIS","school_lvl","147","school_lvl=999"
"Value Error","Unexpected Code","tblVIS","gender_id","146","gender_id=X"
"Value Error","Unexpected Code","tblVIS","gender_id","147","gender_id=999"
"Logic","Unexpected Record","tblVIS","patient","105","patient = 105"
"Logic","Unexpected Record","tblVIS","patient","106","patient = 106"
"Logic","Unexpected Record","tblVIS","patient","107","patient = 107"
"Logic","Unexpected Record","tblVIS","patient","108","patient = 108"
"Logic","Unexpected Record","tblVIS","patient","109","patient = 109"
"Logic","Unexpected Record","tblVIS","patient","110","patient = 110"
"Logic","Unexpected Record","tblVIS","patient","111","patient = 111"
"Logic","Unexpected Record","tblVIS","patient","112","patient = 112"
"Logic","Unexpected Record","tblVIS","patient","113","patient = 113"
